coverage,coverage_def,dim,err10_knn,err10_model,err10_plain,err_final_knn,err_final_model,err_final_plain,gap,knn_k,knn_lookback,knn_val_rmse,knn_weighted,lyap_max,n_params,n_train,nn_dist,ratio_vs_plain,ratio_vs_tuned,seed,system,train_loss,train_s,train_spread,tuning_gain,vpt_knn,vpt_model,vpt_plain
0.33963992009330635,median_nn_over_mean_pairwise,3,0.9109845149996328,0.5019644575761394,0.7974703403479303,1.4436440450222316,1.194829852847934,1.4830577712194097,2000,16,1,1.505177,False,0.8917098035724058,9987,250,0.6572914796500545,7000000000.0,7000000000.0,0,Lorenz,0.00011514014465454779,4.5,1.9352597876877444,0.0,0.0,7.0,0.0
0.3387663298631389,median_nn_over_mean_pairwise,3,0.9721973794739885,0.4281984983447949,0.8857058872055411,1.4358471807695012,1.260552607070836,1.4839420557652994,2000,16,1,1.505177,False,0.8917098035724058,9987,250,0.7098249034836612,9000000000.0,9000000000.0,2,Lorenz,0.00010673901711728042,0.9,2.095323061682161,0.0,0.0,9.0,0.0
0.04719263787672086,median_nn_over_mean_pairwise,3,0.2974498274226257,0.16019545241351582,0.320333485570338,1.1877174128451558,1.3561756349728324,1.3779036981309976,2000,16,1,1.036577,False,0.8917098035724058,9987,500,0.09988629885179222,1.7692307692307692,1.5333333333333334,1,Lorenz,0.00011163766845596025,1.5,2.116565281066097,1.1538461538461537,15.0,23.0,13.0
0.02587127148671106,median_nn_over_mean_pairwise,3,0.0814141965247754,0.09604435925720006,0.0884751067075488,1.0957857352823255,1.2785236086291931,1.1844967805688533,2000,8,1,0.773758,True,0.8917098035724058,9987,1000,0.058053173216758826,1.2758620689655173,1.1935483870967742,0,Lorenz,4.531869077205507e-05,3.0,2.2439242403133606,1.0689655172413794,31.0,37.0,28.999999999999996
0.026743900186423825,median_nn_over_mean_pairwise,3,0.07537267573876484,0.08836973545964795,0.0833640531652206,1.1818563461856302,1.41770452453519,1.2382500032131707,2000,8,1,0.773758,True,0.8917098035724058,9987,1000,0.05957404086914159,1.9199999999999997,1.8461538461538458,2,Lorenz,4.002898728956368e-05,3.0,2.2275749032066585,1.04,26.0,47.99999999999999,25.0
0.021141398308687387,median_nn_over_mean_pairwise,3,0.11206680654190569,0.029932208754684952,0.11051295067475529,1.095234177440045,1.2828956390379163,1.0692608806778825,2000,2,2,0.488482,True,0.8917098035724058,9987,2000,0.04501081711827173,3.2857142857142856,3.2857142857142856,1,Lorenz,9.480402729212423e-06,5.8,2.1290369000699427,1.0,21.0,69.0,21.0
0.012152984982783404,median_nn_over_mean_pairwise,3,0.02459675661788338,0.01489886965287937,0.028771534562666224,0.7665146286360126,0.9400313563426294,0.8630865182162316,2000,16,1,0.59224,True,0.8917098035724058,9987,4000,0.026214190523496692,1.6363636363636365,1.6666666666666667,0,Lorenz,3.9293390407157725e-06,11.4,2.1570166144888008,0.9818181818181818,54.0,90.0,55.0
0.012445991760978707,median_nn_over_mean_pairwise,3,0.023785064877538106,0.01560782612468399,0.029920453661038123,0.9369391045319356,1.2524456918364555,1.0441093505471408,2000,16,1,0.59224,True,0.8917098035724058,9987,4000,0.02665369348032376,1.5909090909090908,1.5909090909090908,2,Lorenz,2.487906918266949e-06,11.6,2.141548378964041,1.0,44.0,70.0,44.0
0.012807897144703578,median_nn_over_mean_pairwise,3,0.023297819718771155,0.007023104122348631,0.026420664470721902,0.8718423020054462,0.5742466448049675,0.9756828975032331,2000,8,1,0.473099,True,0.8917098035724058,9987,8000,0.027852644881145208,1.4945054945054945,1.416666666666667,1,Lorenz,9.110829981338858e-07,24.3,2.1746462019850816,1.0549450549450547,95.99999999999999,136.0,91.0
0.10228279249863005,median_nn_over_mean_pairwise,3,0.9661683177757163,0.660002980695154,0.9661683177757163,1.3037399408594519,1.807170733716371,1.3037399408594519,2000,1,1,3.975616,False,0.15059688939547888,9987,250,0.2128470347744524,3000000000.0,3000000000.0,0,Rossler,7.347161651950846e-05,0.9,2.080966207266029,0.0,0.0,3.0,0.0
