acc_hidden,arch,best_steps,cond_frac,cond_mode,cond_noise,dataset,epochs,hidden_frac,infer_wall_s,kind,mae_all,mae_hidden,method,modality,mse_all,mse_hidden,n_cells,n_params,nrmse_all,nrmse_hidden,optimizer,ordered,overrun_ratio,rel_l2_all,rel_l2_hidden,scale,seed,steps,train_loss,train_wall_s,vpt_steps
,A5_transformer,8,0.1,random,0.0,cml_lattice,40,0.1003,0.334,learned,0.01876852475106716,0.18024862876812892,A5_transformer,chaos,0.004945637192577124,0.04926634211901734,64,14479,0.3179556554733809,1.0035305068895224,adamw,True,1.3895,0.09957934770367027,0.3118990494417473,0.9875,1,1,0.0059881375213576985,170.38,0
,A5_transformer,8,0.1,random,0.0,cml_lattice,40,0.1003,0.334,learned,0.015520317479968071,0.1406149091089473,A5_transformer,chaos,0.0032251866068691015,0.03208779103126363,64,14479,0.2567632458043803,0.8098886832829044,adamw,True,1.3895,0.08041471757061326,0.2517148295297167,0.9875,1,2,0.0059881375213576985,170.38,0
,A5_transformer,8,0.1,random,0.0,cml_lattice,40,0.1003,0.334,learned,0.012528721243143082,0.10230719712160039,A5_transformer,chaos,0.0017777910688892007,0.01761053218264395,64,14479,0.19063199083393367,0.5999867510570802,adamw,True,1.3895,0.05970332043053508,0.18647693921371455,0.9875,1,4,0.0059881375213576985,170.38,0
,A5_transformer,8,0.1,random,0.0,cml_lattice,40,0.1003,0.334,learned,0.011196553707122803,0.07919003746913791,A5_transformer,chaos,0.001052354695275426,0.01027182497242812,64,14479,0.14666838351369152,0.4582254701548343,adamw,True,1.3895,0.045934524394155095,0.14241728337116163,0.9875,1,8,0.0059881375213576985,170.38,0
,A5_transformer,8,0.1,random,0.0,cml_lattice,40,0.1003,0.334,learned,0.014311137609183788,0.0801835543865976,A5_transformer,chaos,0.0011293630814179778,0.010410458734367307,64,14479,0.1519400266581736,0.46130732815491465,adamw,True,1.3895,0.04758553283614429,0.14337513026683685,0.9875,1,16,0.0059881375213576985,170.38,0
,A5_transformer,8,0.1,random,0.0,cml_lattice,40,0.1003,0.334,learned,0.030719231814146042,0.10580884843652223,A5_transformer,chaos,0.002919913502410054,0.01983120024210983,64,14479,0.2443095257413366,0.6366927727021057,adamw,True,1.3895,0.07651438922852032,0.19788523540528413,0.9875,1,32,0.0059881375213576985,170.38,0
,A5_transformer,16,0.3,random,0.0,cml_lattice,40,0.3026,0.336,learned,0.05787245184183121,0.18911248925233884,A5_transformer,chaos,0.0159867275506258,0.05281744320525684,64,14479,0.5716565850964126,1.039068327906016,adamw,True,1.362,0.17903499230774353,0.3262067226193919,0.9875,1,1,0.0059881375213576985,170.38,0
,A5_transformer,16,0.3,random,0.0,cml_lattice,40,0.3026,0.336,learned,0.048117589205503464,0.15532238482950259,A5_transformer,chaos,0.011266746558248997,0.03721479251968185,64,14479,0.4799043595670441,0.872194253995763,adamw,True,1.362,0.15029944381161134,0.2738180170083654,0.9875,1,2,0.0059881375213576985,170.38,0
,A5_transformer,16,0.3,random,0.0,cml_lattice,40,0.3026,0.336,learned,0.039533328264951706,0.12531736565428134,A5_transformer,chaos,0.007489747833460569,0.02472587610546958,64,14479,0.3912812321132312,0.7109372412136823,adamw,True,1.362,0.12254391616005254,0.2231927402808527,0.9875,1,4,0.0059881375213576985,170.38,0
,A5_transformer,16,0.3,random,0.0,cml_lattice,40,0.3026,0.336,learned,0.035039130598306656,0.10845607689258263,A5_transformer,chaos,0.005629163235425949,0.01855847818402499,64,14479,0.33921678733291377,0.6159232532771454,adamw,True,1.362,0.10623804963788348,0.193363901526584,0.9875,1,8,0.0059881375213576985,170.38,0
,A5_transformer,16,0.3,random,0.0,cml_lattice,40,0.3026,0.336,learned,0.03715730831027031,0.10708436602918912,A5_transformer,chaos,0.005677740089595318,0.018534274590501207,64,14479,0.3406772980956558,0.615521484888003,adamw,True,1.362,0.10669545946781844,0.19323776973529136,0.9875,1,16,0.0059881375213576985,170.38,0
,A5_transformer,16,0.3,random,0.0,cml_lattice,40,0.3026,0.336,learned,0.05896526575088501,0.13772750706396938,A5_transformer,chaos,0.01142878644168377,0.03438340169802419,64,14479,0.4833430628832843,0.8383586328107067,adamw,True,1.362,0.1513764111881524,0.26319560960921806,0.9875,1,32,0.0059881375213576985,170.38,0
,A5_transformer,8,0.5,random,0.0,cml_lattice,40,0.4953,0.337,learned,0.09661559760570526,0.1940874927102074,A5_transformer,chaos,0.02676561288535595,0.05403045281198993,64,14479,0.739680235149769,1.0509322605502651,adamw,True,1.2818,0.2316576936452652,0.3291433143871283,0.9875,1,1,0.0059881375213576985,170.38,0
,A5_transformer,8,0.5,random,0.0,cml_lattice,40,0.4953,0.337,learned,0.0839552953839302,0.1678184826482183,A5_transformer,chaos,0.02060689963400364,0.041594483566833165,64,14479,0.6490254896270922,0.9220899496664536,adamw,True,1.2818,0.2032658749017682,0.28879096549702,0.9875,1,2,0.0059881375213576985,170.38,0
,A5_transformer,8,0.5,random,0.0,cml_lattice,40,0.4953,0.337,learned,0.07257705181837082,0.14409071128289494,A5_transformer,chaos,0.015361794270575047,0.03100190870239373,64,14479,0.5603719439889319,0.7960670284961557,adamw,True,1.2818,0.1755008157687728,0.2493216262067588,0.9875,1,4,0.0059881375213576985,170.38,0
,A5_transformer,8,0.5,random,0.0,cml_lattice,40,0.4953,0.337,learned,0.06651115417480469,0.1310573846569707,A5_transformer,chaos,0.012975171208381653,0.02617652551096246,64,14479,0.5150056305619171,0.7314950988309842,adamw,True,1.2818,0.1612926853948517,0.22909823051878278,0.9875,1,8,0.0059881375213576985,170.38,0
